"","P1","P2","P3","P4","P5","P6","P7","P8"
"1","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"2","Truffle Cake","Apricot Danish","Orange Juice","Bottled Water",NA,NA,NA,NA
"3","Almond Tart","Chocolate Tart","Vanilla Meringue","Marzipan Cookie","Tuile Cookie","Apple Croissant","Apricot Croissant",NA
"4","Casino Cake","Truffle Cake","Cherry Tart","Gongolais Cookie","Marzipan Cookie","Chocolate Coffee",NA,NA
"5","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"6","Strawberry Cake","Napoleon Cake","Bottled Water",NA,NA,NA,NA,NA
"7","Apricot Tart","Chocolate Tart","Bottled Water","Vanilla Frappuccino",NA,NA,NA,NA
"8","Strawberry Cake","Hot Coffee",NA,NA,NA,NA,NA,NA
"9","Truffle Cake","Blackberry Tart","Gongolais Cookie",NA,NA,NA,NA,NA
"10","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"11","Napoleon Cake","Marzipan Cookie","Almond Twist","Cherry Soda",NA,NA,NA,NA
"12","Lemon Cake","Chocolate Tart","Apricot Danish","Chocolate Coffee",NA,NA,NA,NA
"13","Strawberry Cake","Gongolais Cookie","Chocolate Meringue",NA,NA,NA,NA,NA
"14","Chocolate Tart","Cherry Tart","Tuile Cookie","Vanilla Frappuccino",NA,NA,NA,NA
"15","Apple Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"16","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"17","Coffee Eclair","Apple Pie","Chocolate Tart","Lemon Lemonade",NA,NA,NA,NA
"18","Blackberry Tart","Blueberry Danish",NA,NA,NA,NA,NA,NA
"19","Single Espresso",NA,NA,NA,NA,NA,NA,NA
"20","Pecan Tart","Ganache Cookie","Apricot Danish","Apple Danish",NA,NA,NA,NA
"21","Chocolate Eclair","Napoleon Cake","Apricot Tart","Apricot Danish","Green Tea",NA,NA,NA
"22","Chocolate Cake","Casino Cake","Apricot Croissant","Chocolate Coffee",NA,NA,NA,NA
"23","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"24","Marzipan Cookie","Almond Croissant","Chocolate Coffee",NA,NA,NA,NA,NA
"25","Chocolate Tart","Vanilla Frappuccino",NA,NA,NA,NA,NA,NA
"26","Apricot Danish","Almond Bear Claw",NA,NA,NA,NA,NA,NA
"27","Truffle Cake","Gongolais Cookie","Chocolate Coffee",NA,NA,NA,NA,NA
"28","Chocolate Cake","Vanilla Eclair","Orange Juice",NA,NA,NA,NA,NA
"29","Chocolate Cake","Strawberry Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"30","Strawberry Cake","Blueberry Tart","Single Espresso",NA,NA,NA,NA,NA
"31","Strawberry Cake","Apple Pie","Apple Danish",NA,NA,NA,NA,NA
"32","Chocolate Cake","Gongolais Cookie","Almond Twist",NA,NA,NA,NA,NA
"33","Pecan Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"34","Cheese Croissant","Apricot Danish","Orange Juice","Green Tea",NA,NA,NA,NA
"35","Marzipan Cookie","Tuile Cookie","Blueberry Danish","Raspberry Lemonade",NA,NA,NA,NA
"36","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA,NA
"37","Apple Croissant","Bottled Water","Single Espresso",NA,NA,NA,NA,NA
"38","Casino Cake","Vanilla Eclair","Apple Tart",NA,NA,NA,NA,NA
"39","Apple Tart","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"40","Lemon Cookie","Marzipan Cookie","Tuile Cookie","Bottled Water",NA,NA,NA,NA
"41","Strawberry Cake","Berry Tart","Tuile Cookie","Raspberry Lemonade","Orange Juice",NA,NA,NA
"42","Coffee Eclair","Blackberry Tart","Cheese Croissant","Lemon Lemonade","Single Espresso",NA,NA,NA
"43","Blueberry Tart","Raspberry Cookie","Apricot Croissant","Hot Coffee",NA,NA,NA,NA
"44","Blueberry Tart","Lemon Tart","Walnut Cookie",NA,NA,NA,NA,NA
"45","Almond Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"46","Truffle Cake","Gongolais Cookie","Lemon Cookie",NA,NA,NA,NA,NA
"47","Apple Tart","Ganache Cookie","Chocolate Meringue","Blueberry Danish",NA,NA,NA,NA
"48","Strawberry Cake","Napoleon Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"49","Casino Cake","Apple Pie","Marzipan Cookie","Hot Coffee",NA,NA,NA,NA
"50","Chocolate Tart","Raspberry Cookie","Walnut Cookie","Orange Juice",NA,NA,NA,NA
"51","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"52","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"53","Napoleon Cake","Lemon Tart","Almond Croissant","Cheese Croissant","Orange Juice",NA,NA,NA
"54","Apricot Tart","Blueberry Tart","Ganache Cookie","Apricot Croissant","Blueberry Danish",NA,NA,NA
"55","Coffee Eclair","Apple Pie","Almond Twist","Bottled Water","Hot Coffee",NA,NA,NA
"56","Apple Pie","Chocolate Tart","Walnut Cookie","Hot Coffee","Vanilla Frappuccino",NA,NA,NA
"57","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"58","Strawberry Cake","Berry Tart","Marzipan Cookie","Almond Croissant","Green Tea","Bottled Water","Single Espresso",NA
"59","Opera Cake","Chocolate Eclair","Almond Tart","Chocolate Tart","Walnut Cookie","Almond Twist","Blueberry Danish",NA
"60","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"61","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"62","Lemon Cake","Lemon Tart","Vanilla Meringue","Marzipan Cookie",NA,NA,NA,NA
"63","Truffle Cake","Cherry Tart","Marzipan Cookie",NA,NA,NA,NA,NA
"64","Chocolate Cake","Berry Tart","Orange Juice",NA,NA,NA,NA,NA
"65","Lemon Cake","Apple Croissant","Apricot Danish",NA,NA,NA,NA,NA
"66","Chocolate Coffee",NA,NA,NA,NA,NA,NA,NA
"67","Coffee Eclair","Apple Pie","Almond Twist",NA,NA,NA,NA,NA
"68","Opera Cake","Coffee Eclair","Ganache Cookie",NA,NA,NA,NA,NA
"69","Chocolate Cake","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"70","Apple Tart","Apple Croissant","Apple Danish",NA,NA,NA,NA,NA
"71","Chocolate Cake","Chocolate Tart","Lemon Cookie",NA,NA,NA,NA,NA
"72","Truffle Cake","Berry Tart","Walnut Cookie","Bottled Water",NA,NA,NA,NA
"73","Lemon Cake","Blackberry Tart","Lemon Tart",NA,NA,NA,NA,NA
"74","Almond Tart","Blackberry Tart","Cherry Tart","Apricot Danish","Single Espresso",NA,NA,NA
"75","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"76","Casino Cake","Blackberry Tart","Blueberry Tart","Cherry Tart","Apple Croissant","Apricot Croissant","Orange Juice","Hot Coffee"
"77","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"78","Strawberry Cake","Gongolais Cookie","Walnut Cookie","Apple Danish",NA,NA,NA,NA
"79","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"80","Tuile Cookie","Orange Juice","Single Espresso",NA,NA,NA,NA,NA
"81","Berry Tart","Blueberry Tart","Cherry Tart",NA,NA,NA,NA,NA
